id,ts,key,value,beauty_salon_id
100074,2023-10-12 17:11:30,Bike Parking,Yes,13326
100075,2023-10-12 17:11:30,Wheelchair Accessible,Yes,13326
100076,2023-10-12 17:11:30,By Appointment Only,Yes,13326
100077,2023-10-12 17:11:30,Price Range,Average,13326
101817,2023-10-12 18:29:10,Parking,Lot,13556
101818,2023-10-12 18:29:10,Wheelchair Accessible,Yes,13556
104458,2023-10-12 20:50:12,By Appointment Only,Yes,13876
105013,2023-10-12 21:16:25,Parking,"Self, Free",13952
105014,2023-10-12 21:16:25,Bike Parking,Yes,13952
105015,2023-10-12 21:16:25,Price Range,Average,13952
111482,2023-10-13 03:55:21,Parking,"Lot, Free",15413
116657,2023-10-13 10:20:35,Price Range,Average,16423
119748,2023-10-13 14:19:49,Price Range,Average,17093
119749,2023-10-13 14:19:49,By Appointment Only,Yes,17093
120051,2023-10-13 14:33:02,Parking,"Street, Lot",17161
121404,2023-10-13 17:48:45,Parking,Lot,17731
121405,2023-10-13 17:48:45,Bike Parking,Yes,17731
121406,2023-10-13 17:48:45,By Appointment Only,Yes,17731
121441,2023-10-13 17:52:40,Parking,Lot,17741
121471,2023-10-13 17:55:02,Parking,"Lot, Self, On Site, Free",17750
121472,2023-10-13 17:55:02,Wheelchair Accessible,Yes,17750
122044,2023-10-13 19:56:08,Parking,"Street, Lot, Private",17997
122045,2023-10-13 19:56:08,Price Range,Average,17997
122046,2023-10-13 19:56:08,By Appointment Only,Yes,17997
122108,2023-10-13 20:01:28,Parking,Lot,18015
122202,2023-10-13 20:10:49,Parking,"Lot, Private",18042
122203,2023-10-13 20:10:49,Bike Parking,Yes,18042
122204,2023-10-13 20:10:49,Wheelchair Accessible,Yes,18042
122205,2023-10-13 20:10:49,Price Range,Average,18042
122206,2023-10-13 20:10:49,By Appointment Only,Yes,18042
122207,2023-10-13 20:10:49,Good for Kids,Yes,18042
122210,2023-10-13 20:16:58,Parking,"Street, Lot, Private",18044
122211,2023-10-13 20:16:58,By Appointment Only,Yes,18044
123962,2023-10-13 22:18:59,Price Range,Average,18471
123963,2023-10-13 22:18:59,Wheelchair Accessible,Yes,18471
123964,2023-10-13 22:18:59,Parking,"Lot, Private",18471
123965,2023-10-13 22:18:59,Bike Parking,Yes,18471
123966,2023-10-13 22:18:59,By Appointment Only,Yes,18471
124347,2023-10-13 22:37:42,Parking,"Lot, Free",18595
124348,2023-10-13 22:37:42,Wheelchair Accessible,Yes,18595
125041,2023-10-13 23:06:58,Parking,"Street, Lot, Private",18809
125042,2023-10-13 23:06:58,Bike Parking,Yes,18809
125043,2023-10-13 23:06:58,Wheelchair Accessible,No,18809
125044,2023-10-13 23:06:58,Price Range,Average,18809
125045,2023-10-13 23:06:58,By Appointment Only,Yes,18809
125398,2023-10-13 23:22:23,Parking,Street,18901
125399,2023-10-13 23:22:23,Wheelchair Accessible,Yes,18901
125400,2023-10-13 23:22:23,Price Range,Above Average,18901
125401,2023-10-13 23:22:23,By Appointment Only,Yes,18901
125402,2023-10-13 23:22:23,Good for Kids,Yes,18901
125804,2023-10-13 23:41:40,Parking,Street,18988
125805,2023-10-13 23:41:40,Price Range,Average,18988
125806,2023-10-13 23:41:40,Bike Parking,Yes,18988
125807,2023-10-13 23:41:40,By Appointment Only,Yes,18988
126010,2023-10-13 23:54:50,By Appointment Only,Yes,19019
126029,2023-10-13 23:55:58,By Appointment Only,Yes,19051
126481,2023-10-14 00:21:33,Parking,"Lot, On Site",19303
126482,2023-10-14 00:21:33,By Appointment Only,Yes,19303
126483,2023-10-14 00:21:33,Price Range,Average,19303
126496,2023-10-14 00:22:00,By Appointment Only,Yes,19306
128628,2023-10-14 04:41:33,Parking,"Lot, Self, On Site, Free, Private",20503
128629,2023-10-14 04:41:33,Bike Parking,Yes,20503
128630,2023-10-14 04:41:33,By Appointment Only,Yes,20503
129328,2023-10-14 07:13:57,Wheelchair Accessible,No,20757
129329,2023-10-14 07:13:57,Parking,Street,20757
129330,2023-10-14 07:13:57,Bike Parking,Yes,20757
129331,2023-10-14 07:13:57,By Appointment Only,No,20757
130405,2023-10-14 09:53:09,Wheelchair Accessible,Yes,21090
130406,2023-10-14 09:53:09,Price Range,Average,21090
130407,2023-10-14 09:53:09,By Appointment Only,Yes,21090
130408,2023-10-14 09:53:09,Services,Liposuction,21090
130409,2023-10-14 09:53:09,Parking,"Lot, Private",21090
130541,2023-10-14 10:13:47,Bike Parking,Yes,21137
130542,2023-10-14 10:13:47,Wheelchair Accessible,Yes,21137
130543,2023-10-14 10:13:47,Price Range,Above Average,21137
130544,2023-10-14 10:13:47,By Appointment Only,Yes,21137
131280,2023-10-14 12:25:37,Parking,"Lot, Private",21388
131281,2023-10-14 12:25:37,Wheelchair Accessible,Yes,21388
131282,2023-10-14 12:25:37,By Appointment Only,Yes,21388
131283,2023-10-14 12:25:37,Services,"Vein Treatments, Medical Services",21388
131284,2023-10-14 12:25:37,Bike Parking,Yes,21388
131344,2023-10-14 12:30:00,Parking,Street,21408
131345,2023-10-14 12:30:00,Bike Parking,No,21408
131346,2023-10-14 12:30:00,Price Range,Average,21408
131347,2023-10-14 12:30:00,By Appointment Only,No,21408
132115,2023-10-14 14:24:43,Parking,Street,21659
132116,2023-10-14 14:24:43,Wheelchair Accessible,No,21659
132117,2023-10-14 14:24:43,Price Range,Average,21659
132118,2023-10-14 14:24:43,By Appointment Only,Yes,21659
134057,2023-10-14 21:05:58,Parking,Lot,22390
134089,2023-10-14 21:09:46,By Appointment Only,Yes,22403
134204,2023-10-14 21:15:56,Parking,"Lot, Private",22432
134205,2023-10-14 21:15:56,By Appointment Only,Yes,22432
134259,2023-10-14 21:18:47,Parking,Street,22446
134260,2023-10-14 21:18:47,Price Range,Above Average,22446
134261,2023-10-14 21:18:47,By Appointment Only,Yes,22446
135276,2023-10-14 22:01:19,Parking,Lot,22623
135277,2023-10-14 22:01:19,By Appointment Only,Yes,22623
137936,2023-10-15 03:00:52,Wheelchair Accessible,Yes,23692
137937,2023-10-15 03:00:52,By Appointment Only,Yes,23692
137938,2023-10-15 03:00:52,Price Range,Average,23692
138020,2023-10-15 03:10:40,Bike Parking,Yes,23723
138021,2023-10-15 03:10:40,Wheelchair Accessible,No,23723
138022,2023-10-15 03:10:40,Parking,Street,23723
138278,2023-10-15 03:23:22,Parking,Street,23781
138279,2023-10-15 03:23:22,Bike Parking,No,23781
138280,2023-10-15 03:23:22,Wheelchair Accessible,Yes,23781
138281,2023-10-15 03:23:22,Price Range,Average,23781
138282,2023-10-15 03:23:22,By Appointment Only,Yes,23781
139323,2023-10-15 05:00:08,Parking,Lot,24069
143290,2023-10-18 17:16:30,Parking,"Lot, Private",25368
143291,2023-10-18 17:16:30,Wheelchair Accessible,Yes,25368
143292,2023-10-18 17:16:30,Bike Parking,Yes,25368
146940,2023-10-19 00:11:44,Parking,"Lot, Private",26957
146941,2023-10-19 00:11:44,Wheelchair Accessible,Yes,26957
146942,2023-10-19 00:11:44,By Appointment Only,No,26957
147347,2023-10-19 00:35:53,Parking,Street,27055
147348,2023-10-19 00:35:53,Wheelchair Accessible,Yes,27055
147360,2023-10-19 00:36:24,Bike Parking,Yes,27058
147361,2023-10-19 00:36:24,Parking,"Lot, Private",27058
147362,2023-10-19 00:36:24,Wheelchair Accessible,Yes,27058
147363,2023-10-19 00:36:24,By Appointment Only,Yes,27058
147364,2023-10-19 00:36:24,Price Range,Average,27058
147671,2023-10-19 00:55:58,Parking,Street,27281
147672,2023-10-19 00:55:58,Wheelchair Accessible,Yes,27281
147673,2023-10-19 00:55:58,Price Range,Average,27281
147674,2023-10-19 00:55:58,By Appointment Only,Yes,27281
147675,2023-10-19 00:55:58,Bike Parking,Yes,27281
147752,2023-10-19 00:59:22,Parking,Lot,27309
148303,2023-10-19 01:28:35,Parking,Lot,27508
148304,2023-10-19 01:28:35,Bike Parking,No,27508
148305,2023-10-19 01:28:35,By Appointment Only,Yes,27508
148784,2023-10-19 02:22:03,Parking,"Self, On Site, Free",27855
148785,2023-10-19 02:22:03,By Appointment Only,Yes,27855
148786,2023-10-19 02:23:19,Parking,"Lot, Self, On Site, Free",27865
151897,2023-10-19 09:08:21,Parking,Street,31608
151898,2023-10-19 09:08:21,Bike Parking,No,31608
151899,2023-10-19 09:08:21,Wheelchair Accessible,Yes,31608
151900,2023-10-19 09:08:21,Price Range,Average,31608
151901,2023-10-19 09:08:21,By Appointment Only,Yes,31608
152726,2023-10-19 11:19:48,Bike Parking,Yes,33958
152727,2023-10-19 11:19:48,Parking,"Lot, Private",33958
152728,2023-10-19 11:19:48,Wheelchair Accessible,Yes,33958
152729,2023-10-19 11:19:48,By Appointment Only,Yes,33958
152730,2023-10-19 11:19:48,Price Range,Below Average,33958
153657,2023-10-19 12:29:23,Parking,"Lot, Free",34736
153658,2023-10-19 12:29:23,Wheelchair Accessible,Yes,34736
153659,2023-10-19 12:29:23,By Appointment Only,Yes,34736
154304,2023-10-19 13:24:55,Bike Parking,No,35024
154452,2023-10-19 13:45:44,Parking,"Lot, Private",35116
154453,2023-10-19 13:45:44,Price Range,Average,35116
154454,2023-10-19 13:45:44,By Appointment Only,Yes,35116
154660,2023-10-19 14:00:50,Bike Parking,Yes,35342
154661,2023-10-19 14:00:50,Parking,Lot,35342
154662,2023-10-19 14:00:50,By Appointment Only,Yes,35342
155564,2023-10-19 15:49:57,Bike Parking,Yes,36763
155565,2023-10-19 15:49:57,Parking,Lot,36763
155566,2023-10-19 15:49:57,By Appointment Only,No,36763
155627,2023-10-19 16:00:07,Parking,Lot,36828
1403,2023-10-09 06:11:15,Price Range,Below Average,40971
1404,2023-10-09 06:11:15,By Appointment Only,No,40971
2489,2023-10-09 06:30:14,Parking,"Lot, Private",41334
2490,2023-10-09 06:30:14,Wheelchair Accessible,Yes,41334
2491,2023-10-09 06:30:14,Price Range,Average,41334
2492,2023-10-09 06:30:14,By Appointment Only,Yes,41334
8126,2023-10-09 09:27:34,Wheelchair Accessible,Yes,42967
9061,2023-10-09 10:07:50,Bike Parking,Yes,43189
9062,2023-10-09 10:07:50,Wheelchair Accessible,Yes,43189
9063,2023-10-09 10:07:50,By Appointment Only,Yes,43189
13917,2023-10-09 13:35:30,Parking,"Lot, Free",51103
15989,2023-10-09 14:52:41,Parking,"Lot, Private",54970
15990,2023-10-09 14:52:41,Bike Parking,Yes,54970
15991,2023-10-09 14:52:41,Wheelchair Accessible,Yes,54970
15992,2023-10-09 14:52:41,By Appointment Only,Yes,54970
16112,2023-10-09 14:59:11,Specialties,"Extensions, Coloring",55043
16113,2023-10-09 14:59:11,Parking,"Lot, Private",55043
16114,2023-10-09 14:59:11,Bike Parking,Yes,55043
16115,2023-10-09 14:59:11,Wheelchair Accessible,Yes,55043
16116,2023-10-09 14:59:11,Certifications,"Redken, Bare Minerals, Creative Nail Design",55043
16117,2023-10-09 14:59:11,By Appointment Only,Yes,55043
17336,2023-10-09 15:38:13,Parking,"Lot, Free",58402
34399,2023-10-10 04:15:41,Bike Parking,Yes,62388
34400,2023-10-10 04:15:41,Price Range,Below Average,62388
34401,2023-10-10 04:15:41,By Appointment Only,Yes,62388
38645,2023-10-10 08:03:21,Price Range,Average,63361
41407,2023-10-10 09:37:12,Parking,Street,63800
41408,2023-10-10 09:37:12,Bike Parking,Yes,63800
41409,2023-10-10 09:37:12,Price Range,Average,63800
41410,2023-10-10 09:37:12,By Appointment Only,Yes,63800
55075,2023-10-10 21:21:13,Parking,Lot,67308
57894,2023-10-11 01:00:34,Parking,"Lot, Free",67938
57895,2023-10-11 01:00:34,Bike Parking,Yes,67938
57896,2023-10-11 01:00:34,Wheelchair Accessible,Yes,67938
62253,2023-10-11 07:22:54,Price Range,Above Average,69675
63206,2023-10-11 08:08:53,Parking,Street,69914
67686,2023-10-11 10:28:10,Parking,"Street, Lot, Self, On Site, Free",70911
67941,2023-10-11 10:33:44,By Appointment Only,Yes,70939
67942,2023-10-11 10:33:44,Parking,"Garage, Street, Validated",70939
67943,2023-10-11 10:33:44,Bike Parking,Yes,70939
67944,2023-10-11 10:33:44,Wheelchair Accessible,Yes,70939
68169,2023-10-11 10:43:22,Parking,"Lot, Private",71028
68170,2023-10-11 10:43:22,Wheelchair Accessible,Yes,71028
68171,2023-10-11 10:43:22,Price Range,Average,71028
68172,2023-10-11 10:43:22,By Appointment Only,Yes,71028
71657,2023-10-11 12:51:38,Price Range,Average,72111
71658,2023-10-11 12:51:38,Wheelchair Accessible,Yes,72111
71659,2023-10-11 12:51:38,Parking,"Lot, Private",72111
71660,2023-10-11 12:51:38,By Appointment Only,Yes,72111
74947,2023-10-11 15:50:38,Specialties,"Extensions, Straight Perms, Coloring, Curly Hair",73087
74948,2023-10-11 15:50:38,Parking,"Lot, Private",73087
74949,2023-10-11 15:50:38,Wheelchair Accessible,Yes,73087
74950,2023-10-11 15:50:38,Price Range,Average,73087
83669,2023-10-12 02:09:11,Parking,Lot,74366
83670,2023-10-12 02:09:11,Wheelchair Accessible,Yes,74366
91177,2023-10-12 07:58:12,Parking,Lot,75114
95649,2023-10-12 13:02:21,Parking,"Lot, Private",76359
95650,2023-10-12 13:02:21,By Appointment Only,Yes,76359
100294,2023-10-12 17:21:16,Price Range,Above Average,77867
100295,2023-10-12 17:21:16,Wheelchair Accessible,Yes,77867
100296,2023-10-12 17:21:16,Parking,Lot,77867
100297,2023-10-12 17:21:16,Bike Parking,Yes,77867
100298,2023-10-12 17:21:16,By Appointment Only,No,77867
100429,2023-10-12 17:23:59,Parking,Street,77883
100430,2023-10-12 17:23:59,Bike Parking,Yes,77883
100431,2023-10-12 17:23:59,Wheelchair Accessible,No,77883
100432,2023-10-12 17:23:59,By Appointment Only,Yes,77883
101246,2023-10-12 18:12:09,Price Range,Below Average,78144
101247,2023-10-12 18:12:09,By Appointment Only,Yes,78144
103237,2023-10-12 19:56:18,Parking,"Lot, Private",78749
103238,2023-10-12 19:56:18,Bike Parking,Yes,78749
103239,2023-10-12 19:56:18,Wheelchair Accessible,Yes,78749
103240,2023-10-12 19:56:18,Price Range,Average,78749
103241,2023-10-12 19:56:18,By Appointment Only,Yes,78749
104709,2023-10-12 20:57:53,Parking,Self,79013
104710,2023-10-12 20:57:53,Wheelchair Accessible,Yes,79013
107373,2023-10-12 22:59:59,Bike Parking,No,79797
1438,2023-10-09 06:11:55,Specialties,"Extensions, Coloring, Curly Hair",80418
1439,2023-10-09 06:11:55,Parking,Street,80418
1440,2023-10-09 06:11:55,Bike Parking,Yes,80418
1441,2023-10-09 06:11:55,Wheelchair Accessible,Yes,80418
1442,2023-10-09 06:11:55,Price Range,Average,80418
1443,2023-10-09 06:11:55,By Appointment Only,Yes,80418
2950,2023-10-09 06:39:38,Parking,"Garage, Street",80621
2951,2023-10-09 06:39:38,Bike Parking,No,80621
2952,2023-10-09 06:39:38,Wheelchair Accessible,Yes,80621
2953,2023-10-09 06:39:38,Price Range,Average,80621
2954,2023-10-09 06:39:38,By Appointment Only,Yes,80621
3305,2023-10-09 07:02:54,Parking,Street,80664
3306,2023-10-09 07:02:54,Bike Parking,Yes,80664
4385,2023-10-09 07:42:41,Parking,Street,80826
4386,2023-10-09 07:42:41,Price Range,Average,80826
4387,2023-10-09 07:42:41,By Appointment Only,Yes,80826
6746,2023-10-09 08:55:09,Parking,Street,81252
6747,2023-10-09 08:55:09,Bike Parking,Yes,81252
6748,2023-10-09 08:55:09,Wheelchair Accessible,Yes,81252
6749,2023-10-09 08:55:09,Price Range,Average,81252
6750,2023-10-09 08:55:09,By Appointment Only,Yes,81252
6751,2023-10-09 08:55:15,Parking,Street,81253
6752,2023-10-09 08:55:15,Wheelchair Accessible,Yes,81253
6753,2023-10-09 08:55:15,Price Range,Average,81253
6754,2023-10-09 08:55:15,By Appointment Only,Yes,81253
9095,2023-10-09 10:12:56,Parking,"Lot, Private",81904
9096,2023-10-09 10:12:56,By Appointment Only,Yes,81904
9117,2023-10-09 10:13:23,Price Range,Average,81915
9118,2023-10-09 10:13:23,Parking,"Lot, Private",81915
9119,2023-10-09 10:13:23,Bike Parking,Yes,81915
15076,2023-10-09 14:14:49,Parking,Street,83549
15077,2023-10-09 14:14:49,Wheelchair Accessible,No,83549
15078,2023-10-09 14:14:49,By Appointment Only,No,83549
18873,2023-10-09 17:01:48,Parking,On Site,84604
28834,2023-10-10 00:13:12,Parking,"Lot, Private",87396
28835,2023-10-10 00:13:12,Bike Parking,Yes,87396
28836,2023-10-10 00:13:12,By Appointment Only,Yes,87396
29360,2023-10-10 00:39:28,Parking,Lot,87567
29361,2023-10-10 00:39:28,Wheelchair Accessible,Yes,87567
29362,2023-10-10 00:39:28,Price Range,Average,87567
29363,2023-10-10 00:39:28,By Appointment Only,Yes,87567
29864,2023-10-10 00:51:03,Bike Parking,Yes,87732
29865,2023-10-10 00:51:03,Price Range,Average,87732
29866,2023-10-10 00:51:03,By Appointment Only,Yes,87732
30394,2023-10-10 01:06:59,Parking,"Paid, Street, Validated, Lot, Self, On Site",87818
30395,2023-10-10 01:06:59,Bike Parking,Yes,87818
30396,2023-10-10 01:06:59,Wheelchair Accessible,Yes,87818
30397,2023-10-10 01:06:59,By Appointment Only,Yes,87818
30398,2023-10-10 01:06:59,Price Range,Below Average,87818
34158,2023-10-10 04:04:08,Parking,"Lot, Private",88719
34159,2023-10-10 04:04:08,Bike Parking,Yes,88719
34160,2023-10-10 04:04:08,Wheelchair Accessible,Yes,88719
34161,2023-10-10 04:04:08,Price Range,Average,88719
34162,2023-10-10 04:04:08,By Appointment Only,No,88719
35053,2023-10-10 04:46:18,Parking,Street,88912
35054,2023-10-10 04:46:18,Wheelchair Accessible,No,88912
